비자코드,상위코드,사증·체류,신청종류,신청상황,대상자,자격요건,절차,수수료,사증유효기간,1회부여 체류기간,체류상한,제한,예외,의무사항,점수표,쿼터,초청자,추천·승인기관,제출서류,예상질문,출처,선행자격,다음단계,동반가족,키워드,검수상태,검수메모
A-2,A-2,체류,체류자격 부여,출생일부터 90일 이내 신청,공무(A-2) 자격 소지자의 국내 출생 자녀 등 부양가족,,,,,,공무수행기간 (부양자 A-2 자격 유지 동안),,,,,,,,"[필수서류]
본인: 신청서(별지 제34호 서식), 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문
부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행을 증명하는 신분증",,A-2 공무 / 체류자격 부여 (p. 18),외국 정부 파견 공무원,"A-1 외교, F-2 거주",동반가족도 A-2,"공무, 정부 파견, 공무·외교",완료,"[2차 정정] A-2 체류자격 부여 - 대상자/체류상한 컬럼 보완. A-1과 일관성 확보. || [2차자동정정] [대상자] 적용: '' → '공무(A-2) 자격 소지자의 국내 출생 자녀 등 부양가족' | [체류상한] 적용: '' → '공무수행기간 (부양자 A-2 자격 유지 동안)' || [3차요약] A-2 체류자격 부여: 출생일 90일 이내 신청. 본인은 파견·재직 서류, 부양가족은 신분관계 입증서류 (p.19)."
A-2,A-2,체류,체류자격 변경,외국정부·국제기구 공무수행자 및 그 동반가족이 공무(A-2) 자격 이외의 자격으로 입국 시 공무(A-2) 자격으로 변경,,,,,,,,,,,,,,,"[필수서류]
본인: 신청서, 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문
부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행 증명 신분증",,A-2 공무 / 체류자격 변경허가 (p. 18),외국 정부 파견 공무원,"A-1 외교, F-2 거주","동반가족도 A-2

[표]
공무(A-2) 동반가족 범위 6개 항목","공무, 정부 파견, 공무·외교",완료,"[2차 정정] A-2 체류자격 변경 - 신청상황 보완. A-1과 일관성 확보. || [2차자동정정] [신청상황] 적용: '' → '외국정부·국제기구 공무수행자 및 그 동반가족이 공무(A-2) 자격 이외의 자격으로 입국 시' || [3차요약] A-2 체류자격 변경: A-2 이외 자격 입국자가 A-2로 변경. 본인은 파견·재직 서류, 부양가족은 신분관계 서류 (p.19)."
A-2,A-2,체류,체류기간 연장,,,,,,,,,주재 목적이 아닌 단기 공무수행 목적 입국자가 90일 이상 장기체류 희망 시 출국하여 장기사증을 발급받아 입국해야 함,대한민국과의 협정 또는 상호주의에 따라 예외적으로 장기 체류자격 변경 또는 체류기간 연장 허용,,,,,,,,A-2 공무 / 체류기간 연장허가 (p. 16~18),외국 정부 파견 공무원,"A-1 외교, F-2 거주",동반가족도 A-2,"공무, 정부 파견, 공무·외교",완료,[3차요약] A-2 체류기간 연장: 단기 공무 목적 입국자가 90일 이상 장기체류 시 출국 후 장기사증 발급. 협정·상호주의 예외 허용 (p.19).
A-3,A-3,체류,공통사항,,,"대한민국정부와 협정에 의하여 외국인등록이 면제되거나 면제할 필요가 있다고 인정되는 자와 그 가족
SOFA: 한미 상호방위조약 제4조에 의한 시설과 구역 및 합중국 군대 지위에 관한 협정
Fulbright 협정: 한미 정부 간 교육에 관한 양해각서 (`50.4.28. 발효), 강의·연구 지원, ETA 지원, 국제교육행정가 연수",,,,,신분존속기간 또는 협정상의 체류기간,,,,,,,,,,A-3 협정 (p. 18~19),SOFA·국제협정 적용 대상자,F-2 거주,동반가족도 A-3,"SOFA, 협정, 미군, Fulbright",완료,"[3차요약] 협정(A-3): 외국인등록 면제 협정 적용자와 가족. SOFA(한미 상호방위), Fulbright 협정 포함. 체류상한=신분존속기간/협정기간 (p.21)."
A-3,A-3,체류,체류자격외 활동허가,"협정(A-3) 자격 소지자, 교수(E-1) 내지 특정활동(E-7) 활동",,,A-3 사증으로 입국하지 않고 입국 후 A-3 자격변경 받은 경우에도 체류자격외 활동 허용,,,,,,,,,,,,"[필수서류]
신청서(별지34호), 여권, 수수료
복무확인서
S.O.F.A ID 카드
해당 자격 관련 서류
SPONSOR인 경우 소속 기관장(고용주)의 동의서",,A-3 협정 / 체류자격외 활동허가 (p. 19~20),SOFA·국제협정 적용 대상자,F-2 거주,동반가족도 A-3,"SOFA, 협정, 미군, Fulbright",완료,"A-3 자격외활동 정보 정확. 출처 페이지(p. 202) 검증 필요. || [자동정정] [출처] 적용: 'A-3 협정 / 체류자격외 활동허가 (p. 202)' → 'A-3 협정 / 체류자격외 활동허가 (p. 19~20)' || [3차요약] A-3 자격외활동: 협정(A-3) 소지자, 교수(E-1)~특정활동(E-7) 활동. SOFA ID·복무확인서 등 제출 (p.21)."
A-3,A-3,체류,체류자격 부여,"국내 출생자, 출생일로부터 90일 이내 신청 (90일 이내 출국 시 별도 허가 불필요)",,,,,,,,,,,,,,,"[필수서류]
신청서(별지 제34호 서식), 여권
출생증명서 등 가족관계 입증서류
부양자의 신분증명서
초청계약자 등이 발급한 복무확인서·재직증명서 또는 초청계약서",,A-3 협정 / 체류자격 부여 (p. 20),SOFA·국제협정 적용 대상자,F-2 거주,동반가족도 A-3,"SOFA, 협정, 미군, Fulbright",완료,"[3차요약] A-3 출생자 체류자격 부여: 90일 이내 신청, 90일 이내 출국 시 별도 허가 불필요. 출생증명서·부양자 신분증·복무확인서 등 제출 (p.21)."
B-1,B-1,체류,공통사항,,,대한민국과 사증면제협정을 체결한 국가의 국민으로서 협정에 의한 활동을 하려는 자,,,,,협정상의 체류기간,사증면제협정 입국자는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 않음. 협정기간 초과 시 반드시 사증을 발급받아 입국해야 함,,,,,,,,,B-1 사증면제 (p. 19~22),사증면제 협정국 국민,자격변경 원칙 불가 (독일·캐나다 등 예외),-,"사증면제, 단기방문, 무비자",완료,"[3차요약] 사증면제(B-1): 사증면제협정 체결국 국민. 협정상 체류기간 내, 연장·자격변경 원칙 불가. 초과 시 사증 발급 후 입국 (p.23~24)."
B-2,B-2,체류,공통사항,,,관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자,,,,,법무부장관이 따로 정하는 기간,관광통과 목적 입국자도 원칙적으로 체류기간 연장이나 체류자격 변경 불가,,,,,,,"[필수서류]
신청서(34호 서식), 여권 원본, 수수료
체류기간 연장의 필요성을 소명하는 서류",,B-2 관광통과 (p. 23),관광통과 입국,자격변경 원칙 불가,-,"관광통과, 단기방문",완료,"[3차요약] 관광통과(B-2): 관광·통과 목적 사증 없이 입국. 법무부장관 정한 기간 내, 연장·자격변경 원칙 불가 (p.25)."
C-1,C-1,체류,공통사항,,,"외국 신문/방송/잡지/보도기관 파견 단기 취재·보도자, 외국 보도기관과의 계약 단기 취재·보도자, 외국 언론사 지사설치 준비 단기 취재·보도자",,,,"90일 (1회 부여 체류기간 상한, 최장체류기간 90일)","90일 (1회 부여 체류기간 상한, 최장체류기간 90일)",,,,,,,,"[필수서류]
신청서(34호 서식), 여권 원본, 수수료
체류기간연장 필요성 소명 서류 (본사의 취재명령서/파견증명서, 외신 보도증 사본 또는 본사발생 재직증명서 등)",,C-1 일시취재 (p. 24),90일 이내 일시취재,D-5 취재 (장기),-,"단기취재, 언론",완료,[3차요약] 일시취재(C-1): 외국 보도기관 파견·계약·지사설치 준비 단기 취재·보도자. 최장 90일 (p.25~26).
C-3,C-3,체류,공통사항,,,"시장조사, 업무연락, 상담, 계약 등 상용활동
관광, 통과, 요양, 친지방문, 친선경기, 행사/회의 참가, 문화예술, 일반연수, 강습, 종교의식, 학술자료 수집 등 90일 이내 단기 체류자
`11.12.15.부 단기상용(C-2)와 단기종합(C-3) 체류자격 통합

[표]
C-3 단기방문 세부 약호 C-3-1 ~ C-3-10

C-3-1: 단기일반 (C-3-2 ~ C-3-9 제외 단기방문 활동범위 내 모든 자)
C-3-2: 단체관광 등 (보증개별, 단체관광, 공항만 소무역활동)
C-3-3: 의료관광 (외국인환자 사증 발급지침 대상자 중 단기방문자)
C-3-4: 단기상용 (시장조사, 업무연락, 상담, 계약, 소규모 무역활동, APEC카드 소지자)
C-3-5: 협정상 단기상용 (CEFA, FTA 등; 인도·칠레)
C-3-6: 우대기업 초청 단기상용
C-3-7: 도착관광
C-3-8: 동포방문
C-3-9: 일반관광
C-3-10: 순수환승",,,,90일,90일,영리를 목적으로 하는 사람에게 발급 불가,,,,,,,,,C-3 단기방문 (p. 25),90일 이내 단기방문·관광,자격변경 원칙 불가,동반자 별도 신청,"단기방문, 관광, 의료관광, 단체관광",완료,C-3 단기방문 정확. 세부약호 C-3-1~C-3-10 모두 일치. 체류상한 컬럼 보완 권장. || [자동정정] [체류상한] 적용: '' → '90일' || [3차요약] C-3 단기방문: 상용활동·관광·통과·요양·친지방문 등 90일 이내. 세부약호 C-3-1(단기일반)~C-3-10(순수환승) 10개 분기. 영리 목적 불가 (p.27).
C-3,C-3,체류,체류기간 연장,,,"단기방문(C-3) 활동 범위에 해당하고, 불법취업의 의심이 없으며 연장의 필요성이 인정되는 경우
입국일로부터 체류기간 90일 범위 내 연장 가능",,,,,,단체관광(C-3-2) 사증 소지자는 출국할 항공기가 없거나 영주·귀화신청 등 부득이한 사유에 한해서만 연장/변경 허가,,,,,,,"[필수서류]
신청서(34호 서식), 여권 원본, 수수료
체류기간 연장의 필요성을 소명하는 서류",,C-3 단기방문 / 체류기간 연장허가 (p. 22~25),90일 이내 단기방문·관광,자격변경 원칙 불가,동반자 별도 신청,"단기방문, 관광, 의료관광, 단체관광",완료,"C-3 체류기간 연장 정확. 단체관광 연장 제한 명시 일치. || [검토필요] [출처] 검토필요: 현재='C-3 단기방문 / 체류기간 연장허가 (p. 22~25)' / 제안='C-3 단기방문 / 체류기간 연장허가 (p. 25)' (사유: C-3 본문은 p.25 시작. p.22~24는 B-1, B-2, C-1 영역. 페이지 범위 정정 권장) || [2차 정정] C-3 체류기간 연장 출처 p.25로 확정. || [2차검토필요] [출처] 검토필요: 현재='C-3 단기방문 / 체류기간 연장허가 (p. 22~25)' / 제안='C-3 단기방문 / 체류기간 연장허가 (p. 25)' (사유: ) || [3차요약] C-3 체류기간 연장: 입국 90일 범위 내 연장. 단체관광(C-3-2)은 항공기 없음·영주신청 등 부득이한 사유 제한 (p.28)."
