stay_status_code,stay_status_name_ko,manual_type,source_pdf,item_type,section_title,subtype_or_program,petition_type,subsection_type,applicant_context,eligibility,target_persons,common_documents,mandatory_documents,other_documents,requirements,procedure,restrictions,exceptions,fees,duration_or_validity,quota_or_limit,score_criteria,table_summary,table_rows,expected_questions,obligations
A-1,외교,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-1 외교 / 재입국허가,,재입국허가,제출서류,출국한 날로부터 1년 이내 재입국하려는 경우 면제. 단수사증을 소지한 외교(A-1)~협정(A-3) 소지자 중 재임기간 내 재입국 시 가능,,,,"신청서(별지34호)
여권
외교관 신분증
대사관 협조 공한
재직 증명 서류",,,,,재임기간 중 유효한 복수사증이 있는 경우는 재입국이 불필요,,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),,,,,,
A-1,외교,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-1 외교 / 외국인등록,,외국인등록,제출서류,외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급,,,,"신청서(별지 제34호)
여권원본
반명함판 천연색 사진 (3.5×4.5cm)
주한외국공관원 신분증 등 신분 입증서류",,,,,"등록외국인에게 부여되는 각종 의무(등록사항변경 신고, 체류지 변경 신고 등)도 적용 면제",,,,,,,,
A-2,공무,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-2 공무,,공통사항,대상,,대한민국정부가 승인한 외국정부 또는 국제기구의 공무를 수행하는 자와 그 가족,,,,,,,,,,공무수행기간 (1회 부여 체류기간 상한),,,,,,
A-2,공무,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-2 공무 / 체류자격외 활동허가,,체류자격외 활동허가,절차,"주한외국공관원 가족 (상호주의 29개국), 국제기구 직원의 동반가족",,,,"여권, 통합신청서
외교부 고용추천서 (외국공관원 가족 케이스)",,,외교부 추천 → 출입국·외국인관서에 공문 발송 → 가족/대리인이 신청서류 제출,"단순노무분야(D-3, E-9, E-10, H-2) 제외",,12만원,근로계약 범위 내 최장 2년,,,,,,
A-2,공무,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-2 공무 / 체류자격 부여,,체류자격 부여,제출서류,출생일부터 90일 이내 신청,,,,"본인: 신청서(별지 제34호 서식), 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문
부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행을 증명하는 신분증",,,,,,,,,,,,,
A-2,공무,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-2 공무 / 체류자격 변경허가,,체류자격 변경,제출서류,,,,,"본인: 신청서, 여권, 파견·재직을 입증하는 서류 또는 자국 소속부처 장의 협조공문
부양가족: 신청서, 여권, 출생증명서 등 신분관계 입증서류, 부양자의 공무수행 증명 신분증",,,,,,,,,,공무(A-2) 동반가족 범위 6개 항목,,,
A-2,공무,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-2 공무 / 체류기간 연장허가,,체류기간 연장,제한,,,,,,,,,주재 목적이 아닌 단기 공무수행 목적 입국자가 90일 이상 장기체류 희망 시 출국하여 장기사증을 발급받아 입국해야 함,대한민국과의 협정 또는 상호주의에 따라 예외적으로 장기 체류자격 변경 또는 체류기간 연장 허용,,,,,,,,
A-3,협정,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-3 협정,,공통사항,대상,,"대한민국정부와 협정에 의하여 외국인등록이 면제되거나 면제할 필요가 있다고 인정되는 자와 그 가족
SOFA: 한미 상호방위조약 제4조에 의한 시설과 구역 및 합중국 군대 지위에 관한 협정
Fulbright 협정: 한미 정부 간 교육에 관한 양해각서 (`50.4.28. 발효), 강의·연구 지원, ETA 지원, 국제교육행정가 연수",,,,,,,,,,신분존속기간 또는 협정상의 체류기간,,,,,,
A-3,협정,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-3 협정 / 체류자격외 활동허가,,체류자격외 활동허가,제출서류,"협정(A-3) 자격 소지자, 교수(E-1) 내지 특정활동(E-7) 활동",,,,"신청서(별지34호), 여권, 수수료
복무확인서
S.O.F.A ID 카드
해당 자격 관련 서류
SPONSOR인 경우 소속 기관장(고용주)의 동의서",,,A-3 사증으로 입국하지 않고 입국 후 A-3 자격변경 받은 경우에도 체류자격외 활동 허용,,,,,,,,,,
A-3,협정,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,A-3 협정 / 체류자격 부여,,체류자격 부여,제출서류,"국내 출생자, 출생일로부터 90일 이내 신청 (90일 이내 출국 시 별도 허가 불필요)",,,,"신청서(별지 제34호 서식), 여권
출생증명서 등 가족관계 입증서류
부양자의 신분증명서
초청계약자 등이 발급한 복무확인서·재직증명서 또는 초청계약서",,,,,,,,,,,,,
B-1,사증면제,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,B-1 사증면제,,공통사항,대상,,대한민국과 사증면제협정을 체결한 국가의 국민으로서 협정에 의한 활동을 하려는 자,,,,,,,사증면제협정 입국자는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 않음. 협정기간 초과 시 반드시 사증을 발급받아 입국해야 함,,,협정상의 체류기간,,,,,,
B-2,관광통과,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,B-2 관광통과,,공통사항,대상,,관광·통과 등의 목적으로 대한민국에 사증 없이 입국하려는 자,,,"신청서(34호 서식), 여권 원본, 수수료
체류기간 연장의 필요성을 소명하는 서류",,,,관광통과 목적 입국자도 원칙적으로 체류기간 연장이나 체류자격 변경 불가,,,법무부장관이 따로 정하는 기간,,,,,,
C-1,일시취재,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,C-1 일시취재,,공통사항,대상,,"외국 신문/방송/잡지/보도기관 파견 단기 취재·보도자, 외국 보도기관과의 계약 단기 취재·보도자, 외국 언론사 지사설치 준비 단기 취재·보도자",,,"신청서(34호 서식), 여권 원본, 수수료
체류기간연장 필요성 소명 서류 (본사의 취재명령서/파견증명서, 외신 보도증 사본 또는 본사발생 재직증명서 등)",,,,,,,"90일 (1회 부여 체류기간 상한, 최장체류기간 90일)",,,,,,
C-3,단기방문,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,C-3 단기방문,,공통사항,대상,,"시장조사, 업무연락, 상담, 계약 등 상용활동
관광, 통과, 요양, 친지방문, 친선경기, 행사/회의 참가, 문화예술, 일반연수, 강습, 종교의식, 학술자료 수집 등 90일 이내 단기 체류자
`11.12.15.부 단기상용(C-2)와 단기종합(C-3) 체류자격 통합",,,,,,,영리를 목적으로 하는 사람에게 발급 불가,,,90일,,,C-3 단기방문 세부 약호 C-3-1 ~ C-3-10,"C-3-1: 단기일반 (C-3-2 ~ C-3-9 제외 단기방문 활동범위 내 모든 자)
C-3-2: 단체관광 등 (보증개별, 단체관광, 공항만 소무역활동)
C-3-3: 의료관광 (외국인환자 사증 발급지침 대상자 중 단기방문자)
C-3-4: 단기상용 (시장조사, 업무연락, 상담, 계약, 소규모 무역활동, APEC카드 소지자)
C-3-5: 협정상 단기상용 (CEFA, FTA 등; 인도·칠레)
C-3-6: 우대기업 초청 단기상용
C-3-7: 도착관광
C-3-8: 동포방문
C-3-9: 일반관광
C-3-10: 순수환승",,
C-3,단기방문,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,C-3 단기방문 / 체류기간 연장허가,,체류기간 연장,요건,,,,,"신청서(34호 서식), 여권 원본, 수수료
체류기간 연장의 필요성을 소명하는 서류",,"단기방문(C-3) 활동 범위에 해당하고, 불법취업의 의심이 없으며 연장의 필요성이 인정되는 경우
입국일로부터 체류기간 90일 범위 내 연장 가능",,단체관광(C-3-2) 사증 소지자는 출국할 항공기가 없거나 영주·귀화신청 등 부득이한 사유에 한해서만 연장/변경 허가,,,,,,,,,
C-4,단기취업,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,C-4 단기취업,,공통사항,대상,,"C-4-1~4: 농작물 재배·수확(연계 원시가공 포함) 및 수산물 원시가공 분야 취업활동자
C-4-5: 일시흥행, 광고·패션모델, 강의·강연, 연구, 기술지도 등 수익 목적 단기간 취업활동자",,,,,,,,,,90일,,,,,,
C-4,단기취업,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,C-4 단기취업 / 근무처 변경·추가,,근무처 변경/추가,절차,"계절근로(C-4-1~4): 근무처 추가 불가, 근무처 변경시 지자체 담당자 동반 필요
계절근로외(C-4-5): 권한 청장 위임, 주무부처 고용추천서 불필요(E-1~E-7 일부 제외)",,,,"계절근로(C-4-1~4): 통합신청서, 여권 (수수료 면제), 거주/숙소 제공 확인서, 표준근로계약서 사본, 산업재해보험 가입증명원 또는 농·어업인 안전보험 증서, 계절근로자 배치 대상 고용주 확인서
계절근로외(C-4-5): 신청서(별지 제34호 서식), 여권 원본, 수수료, 고용계약서, 회사 설립 관련 서류, 고용추천서(해당자), 기타 입증 서류",,,,"계절근로 근무처 변경 사유 한정:
1. 각종 조건 위반 고용주가 시정을 하지 않은 경우
2. 계절근로자의 귀책사유 없이 근로 계속 불가
3. 사회통념상 최초 계약 고용주 작업장에서 근무 불가",,근무처변경 수수료 면제 (계절근로),,,,,,,
D-1,문화예술,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-1 문화예술,,공통사항,대상,,수익을 목적으로 하지 않는 학술 또는 예술상의 활동자 (대한민국 고유문화·예술에 대한 전문연구 또는 전문가 지도 포함),,,,,,,"일반 태권도학원, 무용 학원 등 영리단체의 초청은 해당하지 않음",,,2년,,,,,,
D-1,문화예술,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-1 문화예술 / 외국인등록,,외국인등록,제출서류,,,,,"신청서(별지34호 서식), 여권원본, 표준규격사진 1장, 수수료
사업자등록증 등 문화예술 단체 입증 서류
체류지 입증서류",,,,,,,,,,,,,"외국인등록사항 변경신고: 성명, 성별, 생년월일/국적, 여권의 번호·발급일자·유효기간
소속기관 또는 단체의 변경(명칭변경 포함)이나 추가 시 변경일로부터 15일 이내 신고"
D-2,유학,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-2 유학,,공통사항,대상,,"교육기관: 「고등교육법」 및 특별법에 따라 설립된 전문대학 이상의 교육기관이나 학술 연구기관으로서 법무부장관이 정하는 요건을 갖춘 대학 또는 부설 어학원
제외: 원격대학(방송대학·통신대학·방송통신대학·사이버대학), 평생교육기관, 기능대학 중 직업훈련과정, 야간대학·대학원 (일부 사전심사 야간 학위과정 제외)","위 교육기관에서 정규과정 교육 또는 특정 연구를 하고자 하는 외국인 (유학 D-2 및 어학연수 D-4-1, D-4-7)",,,,,,,,,2년,,,D-2 학위과정 세부약호와 D-4 어학연수 약호,"D-2-1 전문학사과정
D-2-2 학사과정
D-2-3 석사과정
D-2-4 박사과정
D-2-5 연구과정
D-2-6 교환학생
D-2-7 일-학습연계 유학
D-2-8 방문학생
D-4-1 한국어 연수
D-4-7 외국어 연수",,
D-2,유학,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-2 유학 / 시간제취업 활동 허가,,체류자격외 활동허가,요건,"일정 수준의 한국어 능력 보유, 유학 본연의 활동 전념, 대학 유학생 담당자 확인을 받은 사람","유학(D-2) 세부 D-2-1~D-2-4, D-2-6, D-2-7 해당자
어학연수(D-4-1, D-4-7), 방문학생(D-2-8): 변경일(사증소지자는 입국일)로부터 6개월 경과",,,"신청서, 여권, 외국인등록증 (수수료 면제)
성적 또는 출석 증명서
한국어 능력 증빙서류
외국인 유학생 시간제 취업 확인서
외국인 유학생 시간제취업 요건 준수 확인서
사업자등록증 사본 및 고용주 신분증 사본
표준근로계약서 사본 (시급, 근무내용·시간 포함)",,"한국어 능력 기준 (TOPIK/사회통합/세종학당 기준)
전문학사·학사 1-2학년: TOPIK 3급 또는 사회통합 3단계 또는 세종 중급1
학사 3-4학년: TOPIK 4급 또는 사회통합 4단계 또는 세종 중급2",,"선량한 풍속/사회질서 반하는 행위 금지
전문분야 E-1~E-7 (일부 예외 제외)
비전문취업(E-9) 제조업·건설업·선원취업(E-10) (한국어 4급 이상 시 예외 허용)
파견·도급·알선 관계, 원거리 근무, 직전학기 C학점(2.0) 미만자 제한",,수수료 면제,"어학연수생(D-4): 체류기간 내 최장 6개월, 장소 1곳
유학생(D-2): 체류기간 내 최장 1년, 장소 2곳
허용시간: 전문학사·학사 주중 10~30시간, 석박사 주중 15~35시간",,,,,,
D-2,유학,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-2 유학 / 체류자격 변경허가,,체류자격 변경,제출서류,외국인등록 후 합법 체류 중인 장기체류자 (D-3/E-8/E-9/E-10/G-1 일부 제외),,,,"신청서, 여권 및 사본 1부, 표준규격사진 1매, 수수료 (GKS 장학증서 소지자 수수료 면제)
교육기관 사업자등록증(또는 고유번호증) 사본
표준입학허가서
학력요건 및 재정능력 입증서류
가족관계 입증서류 (부모 잔고증명서 등 제출 시)",,"한국어 능력: TOPIK 또는 사회통합 또는 세종학당 기준 충족
전문학사·뿌리산업양성학과: 사회통합 2단계 이상 또는 사전평가 41점 이상, TOPIK 2급 이상
학사(전공심화) 이상: 사회통합 4단계 이상 또는 사전평가 81점 이상, TOPIK 4급 이상
영어트랙: TOEFL 530(iBT 71), IELTS 5.5, CEFR B2, TEPS 601(NEW TEPS 327) 이상",,,,,,,,,,,
D-2,유학,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-2 유학 / 체류기간 연장허가,,체류기간 연장,요건,,,,,"신청서, 여권, 외국인등록증, 수수료
수료증명서, 지도교수 및 유학담당자 확인서
재학증명서, 성적증명서, 출석확인서 등 학업 정상 수행 입증서류
재정입증 서류
체류지 입증서류",,"학사일정 고려: D-2-1~D-2-4, D-2-7은 3월말 또는 9월말로 조정
D-2-5 연구유학: 2년 초과 체류 불가 (1회 1년 상한)
D-2-6 교환학생, D-2-8 방문학생: 과정 종료일로부터 1개월 범위 내 1월 말/7월 말 조정
유학활동 종료자 상한: 전문학사 3년(3년제 4년), 학사 6년(5년제 7년), 석사 5년(3년제 6년), 박사 8년(2년제 7년)",,"가사·졸업연기 등 휴학 사유 불인정
야간/주말수업 수강자 체류허가 제한
비자심사강화대학 D학점(1.0) 이하 재학생은 6개월 이내 연장 후 다음 연장 제한",,,,,,,,,
D-2,유학,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-2 유학 / 외국인등록,,외국인등록,제출서류,,,,,"신청서, 여권 및 사본 1부, 표준규격사진 1매, 수수료
재학(연구생)증명서 (대체: 인증대학 이상은 등록금납입증명서, 일반대학 이하는 협조요청서 및 등록금납입증명서)
체류지 입증서류",,,,,외국인등록 + 체류기간 연장 동시 신청 시 연장 수수료 면제. 정부초청장학생 등 수수료 면제 대상자도 등록증 발급/재발급 수수료는 납부,,,,,,,,"등록사항 변경신고: 성명/성별/생년월일/국적, 여권번호/발급일자/유효기간, 학교 변경(명칭 변경 포함)
신고기한: 변경일로부터 15일 이내"
D-3,기술연수,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-3 기술연수,,공통사항,대상,,"법무부장관이 정하는 연수조건을 갖춘 자로 국내 산업체에서 연수를 받고자 하는 자
외국환거래법에 따라 외국에 직접 투자한 산업체
외국에 기술을 수출하는 산업체
대외무역법에 따라 외국에 산업설비를 수출하는 산업체",,,,,,,"체류자격외 활동 원칙적으로 억제
근무처 변경·추가 해당 없음
체류자격 부여 해당 없음
체류자격 변경 불가 원칙",,,2년 이내,,,,,,
D-3,기술연수,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-3 기술연수 / 체류기간 연장,,체류기간 연장,제출서류,"최초 6개월, 이후 입국한 날부터 2년 범위 내 연장. 연수기간 연장 필요성, 과거 이탈율, 범법사항 등 확인",,,,"신청서(별지34호 서식), 여권원본, 외국인등록증, 수수료
연수기간 연장신청 사유서
사업자등록증과 공장등록증
국내법인 납세증명서
현지법인 납세사실 증명 서류
연수생 임금 및 연수수당 지급 확인서류
신원보증서 원본
산업재해보상보험, 국민건강보험, 보증보험 가입증명서류
체류지 입증서류",,,,,,,,,,,,,
D-4,일반연수,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,D-4 일반연수,,공통사항,대상,,"유학(D-2) 자격에 해당하는 교육기관 또는 학술연구기관 외에 교육기관이나 기업체·단체 등에서 교육·연수를 받거나 연구활동에 종사하려는 자
어학연수(D-4-1, D-4-7), 기업맞춤형 인턴십(D-4-2K), 외국인유학생(D-4-3), 한식조리연수(D-4-5), 우수사설교육기관 연수(D-4-6)",,,,,,,체류자격외 활동 원칙적 억제,,,2년,,,,,,
D-4,일반연수,체류민원,260504 체류민원 자격별 안내 매뉴얼.hwp,stay_status_rule,"D-4 일반연수 / 어학연수(D-4-1, D-4-7) 자격 변경","D-4-1, D-4-7",체류자격 변경,제출서류,,,,,"신청서, 여권, 외국인등록증(소지자), 사진 1매, 수수료
교육기관 사업자등록증 또는 고유번호증 사본
표준입학허가서(대학 총·학장 발행)
재정능력 입증서류
재학증명서 또는 최종학력 입증서류
연수계획서(강의시간표, 강사구성표, 연수시설 등 포함)",,고등학교 졸업 이상 학력 소지자 (D-4-7 외국어 연수는 고등학교 이하도 가능),,,,,,,,,,,
