비자코드,상위코드,사증·체류,신청종류,하위프로그램,신청상황,대상,자격요건,제출서류,절차,수수료,기간,제한,예외,의무사항,공통사항,점수표,쿼터,초청자,추천·승인기관,표 데이터,페이지,연계비자,키워드,예상질문,검수상태,검수메모
A-2,A-2,체류,체류기간 연장,,주재 목적이 아닌 단기 공무수행 목적으로 입국한 공무(A-2) 체류자격 소지자가 90일 이상 장기체류를 희망하는 경우,,,,"단기 공무수행 목적 입국자가 90일 이상 장기체류 희망: 원칙적으로 출국하여 장기사증을 발급받아 입국
대한민국과의 협정 또는 상호주의에 따라 예외적으로 장기 체류자격으로 변경 또는 체류기간연장 허용",6만원,,주재 목적이 아닌 단기 공무수행 목적 A-2 소지자가 90일 이상 장기체류 희망 시 원칙적으로 출국 후 장기사증 발급 받아 재입국,대한민국과의 협정 또는 상호주의에 따라 예외적으로 장기 체류자격으로 변경 또는 체류기간연장 허용,,,,,,,,p. 18,,"공무, 체류기간 연장, 단기 공무수행, 협정, 상호주의","단기 공무 수행 후 90일 넘게 더 있을 수 있어요?
공무 비자 연장은 무조건 가능해요?
협정 국가는 다르게 처리되나요?",미검수,
A-2,A-2,체류,재입국허가,,단수사증을 소지한 외교(A-1)~협정(A-3) 소지자 중 재임기간 내에 재입국하고자 하는 자,,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),"- 신청서(별지 34호)
- 여권
- 외교관 신분증
- 대사관 협조 공한
- 재직 증명 서류",,단수 3만원 / 복수 5만원,,,"출국한 날로부터 1년 이내 재입국하려는 경우 면제
재임기간 중 유효한 복수사증이 있는 경우는 재입국이 불필요",,,,,,,,p. 20,"A-1, A-3","공무, 재입국허가, 단수재입국, 복수재입국, 면제","공무 자격으로 잠시 출국했다 다시 들어올 때 허가가 필요한가요?
재입국허가 면제 받으려면 어떤 조건인가요?
공항에서 바로 받을 수 있어요?",미검수,
A-2,A-2,체류,외국인등록,,공무(A-2) 자격 소지자 (외국인등록 면제 대상이나 본인이 원할 경우),,,"- 신청서(별지 제34호)
- 여권원본
- 반명함판 천연색 사진(3.5×4.5㎝)
- 주한외국공관원 신분증 등 신분 입증서류",,외국인등록증 발급·재발급 3만 5천원,,,"외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급
기타 등록외국인에게 부여되는 각종 의무(등록사항변경 신고, 체류지 변경 신고 등)도 적용 면제
인터넷 쇼핑 등 온라인 이용 시 본인 인증 곤란으로 국내생활 불편 해소 목적",외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급 가능,,,,,,,p. 21,,"공무, 외국인등록, 외국인등록증, 면제 대상, 본인 인증","공무 비자인데 외국인등록증 발급 받을 수 있어요?
온라인 본인인증 때문에 등록하는 게 좋나요?
공무 자격은 변경 신고 의무가 없나요?",미검수,
A-3,A-3,체류,체류자격외 활동허가,,"협정(A-3)자격 소지자
입국시 A-3사증으로 입국하지 아니하고 입국 후 A-3자격변경을 받은 경우에도 체류자격외 활동 허용 ('07.2.9. 시행)",교수(E-1) 내지 특정활동(E-7) 자격에 해당하는 활동을 하려는 자,,"① 신청서(별지 34호), 여권, 수수료
② 복무확인서
③ S.O.F.A ID 카드
④ 해당 자격 관련 서류
⑤ SPONSOR인 경우 소속 기관장(고용주)의 동의서",자격외 활동 중인 근무처를 변경하려는 경우 새로운 근무처로 자격외 활동을 다시 신청,12만원,,,,,,,,,,,p. 19,"E-1, E-7","협정, SOFA, 자격외 활동, 교수, 특정활동","SOFA 신분으로 한국에서 교수 활동을 할 수 있나요?
자격외 활동 가능한 직종은 어디까지인가요?
근무처 바꿀 때마다 다시 신청해야 해요?",미검수,
A-3,A-3,체류,체류자격 부여,,협정(A-3) 자격 부여 대상 국내 출생자,,"출생일로부터 90일 이내 신청
90일 이내 출국하는 경우 별도허가 불필요","① 신청서(별지 제34호 서식), 여권
② 출생증명서 등 가족관계 입증서류
③ 부양자의 신분증명서
④ 초청계약자 등이 발급한 복무확인서·재직증명서 또는 초청계약서",,8만원,,,90일 이내 출국하는 경우 별도허가 불필요,,,,,,,,p. 19,,"협정, SOFA, 체류자격 부여, 출생증명서, 부양자 신분","한국에서 SOFA 가족이 출산했는데 어떤 자격을 받나요?
체류자격 부여는 출생 후 며칠 안에 신청해요?
90일 안에 출국하면 따로 절차가 필요 없나요?",미검수,
A-3 (A-3-99),A-3,체류,체류자격 변경,A-3-99,"SOFA 해당자: 다른 체류자격에서(등록외국인 포함) A-3로 변경 가능
Fulbright 협정 대상자: A-3-99 사증을 받지 못하고 무비자로 입국한 사람
A-3 소지자가 퇴직 등으로 자격 상실 후 자격변경 가능한 체류자격으로 계속 체류하고자 하는 경우","SOFA 해당자, Fulbright 협정 대상자",A-3 소지자가 퇴직 등으로 자격 상실 후 국내에서 자격변경: 신분상실일로부터 30일 이내에 자격변경 신청 (30일 이내 출국 시 별도 허가 불필요),"SOFA 해당자 (본인):
① 신청서(별지34호), 여권
② SPONSOR 복무확인서(현역) 또는 재직증명서(군속)
③ 초청계약서(초청계약자)
피부양가족:
① 신청서(별지34호), 여권
② 출생증명서 등 가족관계 입증서류
③ 부양자의 신분증명서
④ 초청계약자 등이 발급한 복무확인서·재직증명서 또는 초청계약서
⑤ 11세 미만자는 부·모의 SOFA ID 카드 (11세 이상은 본인 ID 카드)
Fulbright 협정 대상자:
신청서(별지34호), 여권, Fulbright I/D 카드, 한미교육위원단 협조공한",,10만원,Fulbright 협정 대상자: 협조공한상의 장학금 수혜기간,,A-3 소지자 신분상실 후 30일 이내 출국 시 별도 허가 불필요,,,,,,,,p. 20,,"협정, SOFA, Fulbright, 체류자격 변경, 한미교육위원단","SOFA 자격으로 어떻게 바꿀 수 있어요?
Fulbright 장학생인데 자격변경 어떻게 해요?
협정 자격 상실되면 며칠 안에 변경해야 하나요?",미검수,
A-3,A-3,체류,체류기간 연장,,Fulbright 협정 대상자,,,"- 신청서(별지34호)
- 여권
- Fulbright I/D 카드
- 한미교육위원단 협조공한",,6만원,I/D 카드 상의 기간 및 한미교육위원단 협조공한상 요청기간을 확인하여 부여,,,,,,,,,,p. 20,,"협정, Fulbright, 체류기간 연장, 한미교육위원단","Fulbright 장학생인데 체류 기간 연장은 어떻게 받나요?
얼마나 더 머물 수 있어요?
한미교육위원단에서 받아야 할 서류가 있나요?",미검수,
A-3,A-3,체류,재입국허가,,단수사증을 소지한 외교(A-1)~협정(A-3) 소지자 중 재임기간 내 재입국하고자 하는 자,,국내 재임기간 내에서 단·복수재입국허가 (공항만도 복수 가능),"① 신청서(별지34호), 여권, SOFA ID카드(SPONSOR와 Dependent 모두 필요)
② 복무확인서(재직증명서: 출국일과 동반 가족기재된 것)",,단수 3만원 / 복수 5만원,,,"출국한 날로부터 1년 이내 재입국하려는 경우 면제
재임기간 중 유효한 복수사증이 있는 경우는 재입국이 불필요",,,,,,,,p. 21,"A-1, A-2","협정, SOFA, 재입국허가, SOFA ID, 복무확인서","SOFA 가족인데 재입국 허가 어떻게 받아요?
동반가족 정보도 서류에 들어가야 하나요?
재입국 면제 받을 수 있는 조건은 뭐예요?",미검수,
A-3,A-3,체류,외국인등록,,협정(A-3) 자격 소지자 (외국인등록 면제 대상이나 본인이 원할 경우),,,"① 신청서(별지 제34호), 여권원본, 반명함판 천연색 사진(3.5×4.5㎝)
② 주한외국공관원 신분증 등 신분 입증서류",,외국인등록증 발급·재발급 3만 5천원,,,"외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급
기타 등록외국인에게 부여되는 각종 의무(등록사항변경 신고, 체류지 변경 신고 등)도 적용 면제
인터넷 쇼핑 등 온라인 이용 시 본인 인증 곤란으로 국내생활 불편 해소 목적",외국인등록 면제 대상이나 본인이 원할 경우 외국인등록증 발급 가능,,,,,,,p. 21,,"협정, SOFA, 외국인등록, 외국인등록증, 면제 대상","SOFA 신분인데 외국인등록증 받을 수 있어요?
본인 인증 때문에 등록하는 게 좋나요?",미검수,
B-1,B-1,체류,체류자격 변경,,사증면제협정 또는 관광통과 목적으로 입국한 자,대한민국과 사증면제협정을 체결한 국가의 국민으로서 그 협정에 의한 활동을 하려는 자,,"① 신청서(34호 서식), 여권 원본, 수수료
② 체류기간 연장의 필요성을 소명하는 서류",,10만원,협정상의 체류기간,"사증면제협정 또는 관광통과 목적으로 입국한 자에 대하여는 원칙적으로 체류기간 연장이나 체류자격 변경허가를 하지 않음
체류기간이 협정기간 또는 법무부장관이 따로 정하는 기간을 초과하는 경우에는 반드시 사증을 발급 받아 입국하도록 안내",,,,,,,,,p. 22~23,B-2,"사증면제, 협정, 체류자격 변경 제한, 체류기간 연장 제한","무비자로 들어왔는데 체류기간 더 연장할 수 있어요?
사증면제로 왔는데 자격 변경 가능한가요?
오래 머물려면 어떻게 해요?",미검수,
